UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
144005,43,31,50,4,5,3,3,4,2,1,1,1
144050,4,6,4,88,89,87,88,89,87,0,0,0
144281,89,87,91,15,17,13,15,16,13,0,0,0
144351,93,91,94,8,9,7,8,9,7,0,0,0
144740,76,73,78,11,12,10,11,12,10,0,0,0
144892,65,60,70,10,10,10,10,10,9,0,0,0
144962,74,69,78,13,11,13,13,11,13,0,0,0
144971,85,83,88,16,17,15,16,17,15,0,0,0
145239,70,33,73,39,100,38,39,100,38,0,0,0
145336,48,43,53,17,18,16,16,17,15,1,1,1
145354,100,,100,100,,100,0,,0,100,,100
145372,97,97,98,15,17,12,15,17,12,0,0,0
145497,57,44,80,88,75,100,63,75,50,25,0,50
145600,77,74,80,21,24,19,21,23,19,0,0,0
145619,95,94,97,16,18,14,15,17,14,0,0,0
145637,42,36,50,29,30,28,29,30,28,0,0,0
145646,39,32,46,12,14,11,12,14,11,0,0,0
145691,78,78,79,8,10,7,8,10,7,0,0,0
145725,55,54,59,8,9,7,8,9,7,0,0,0
145813,88,86,90,23,23,22,22,23,22,0,0,0
146339,48,43,64,39,38,43,39,37,43,1,1,0
146427,71,68,74,11,11,12,11,11,12,0,0,0
146481,57,52,60,14,14,13,14,14,13,0,0,0
146612,71,68,74,15,15,15,15,15,15,0,0,0
146719,82,78,84,9,8,9,9,8,9,0,0,0
147013,72,75,69,19,21,17,19,21,17,0,0,0
147129,39,50,38,57,0,67,57,0,67,0,0,0
147244,67,43,92,10,15,9,10,15,9,0,0,0
147341,91,89,94,14,13,16,14,13,16,0,0,0
147369,83,85,81,66,79,54,59,69,49,7,10,5
147536,95,94,96,18,16,20,17,15,18,1,2,1
147660,77,76,78,14,15,12,14,15,12,0,0,0
147679,69,64,73,14,16,13,14,16,13,0,0,0
147703,70,66,72,12,14,11,12,14,11,0,0,0
147767,8,7,8,55,56,54,55,56,54,0,0,0
147776,75,69,79,8,10,7,8,10,7,1,0,1
147828,56,65,64,24,30,24,24,30,24,0,0,0
148131,51,50,53,29,35,23,29,35,23,0,0,0
148405,93,92,94,13,13,15,13,13,15,0,0,0
148487,97,97,97,9,8,9,9,8,9,0,0,0
148496,90,88,92,12,12,12,12,11,12,0,0,0
148584,65,61,68,14,15,14,14,15,14,0,0,0
148627,84,82,86,14,14,13,13,14,13,0,0,0
148654,86,85,86,13,15,11,12,14,11,0,0,0
149222,87,85,88,19,20,18,18,20,17,1,0,1
149231,97,97,98,16,14,17,16,14,17,0,0,0
149310,91,93,82,100,100,100,100,100,100,0,0,0
149329,100,100,,100,100,,100,100,,0,0,
149505,85,79,89,23,24,23,23,24,23,0,0,0
